type	latitude	longitude	name	desc	kml_folder
T	59.603486354	17.821780943			
T	59.603480159	17.821310672			
T	59.603858644	17.819355014			
T	59.604099768	17.817187393			
T	59.604350336	17.815724614			
T	59.604732668	17.813999775			
T	59.604996031	17.813477223			
T	59.605115330	17.812273345			
T	59.605630210	17.810283320			
T	59.606155043	17.808998593			
T	59.606148806	17.808526758			
T	59.606542058	17.807502964			
T	59.606803370	17.806741208			
T	59.607465146	17.805425482			
T	59.607995265	17.804371464			
T	59.608383883	17.802870486			
T	59.608911959	17.801577086			
T	59.609041723	17.801075952			
T	59.609817977	17.797828947			
T	59.610465368	17.795078963			
